id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
98,Baccalauréat D,Anglais;Français;Informatique,0,0,0,14.83,13.64,11.0,0,0,0,10.53,0,0,Technologies numériques,Communication;Tourisme,Création d'un site web multimédia;Projet de communication numérique,Développeur logiciel;Professionnel du tourisme;Commercial,Télétravail;Bureau,IMTICIA
99,Baccalauréat S,Informatique;Anglais;Français,0,14.23,8.63,17.95,13.9,19.56,10.52,0,0,0,9.46,0,Multimédia;Technologies numériques;Communication numérique,Informatique,Création de contenus numériques;Création d'un site web multimédia,Commercial;Développeur logiciel,Télétravail,IMTICIA
100,Baccalauréat C,Informatique;Anglais,12.9,12.39,11.77,15.33,13.94,15.88,0,9.44,12.61,8.8,9.89,11.05,Technologies numériques;Traitement des données,Technologie,Projet de communication numérique,Professionnel du tourisme;Commercial,Bureau;Travail en équipe;Télétravail,IMTICIA
101,Bac+1,Français;Anglais,13.96,10.88,0,16.41,14.05,16.8,0,0,0,0,10.6,0,Multimédia;Communication numérique;Technologies numériques,Technologie;Informatique,Création de contenus numériques;Projet de communication numérique,Développeur logiciel;Commercial,Travail en équipe;Télétravail,IMTICIA
102,Bac+3,Français;Anglais;Informatique,0,0,14.83,11.81,14.86,15.45,8.76,0,0,14.17,0,0,Multimédia,Tourisme,Projet de communication numérique,Développeur logiciel,Bureau;Laboratoire,IMTICIA
103,Baccalauréat Technique,Français;Anglais;Informatique,15.59,0,0,16.11,17.22,16.24,0,0,8.72,11.3,8.08,0,Multimédia;Management,Tourisme,Création de contenus numériques;Création d'un site web multimédia,Commercial;Développeur logiciel,Travail en équipe;Bureau;Télétravail,IMTICIA
104,Bac+3,Informatique;Anglais;Français,8.63,0,0,17.56,15.39,16.28,9.5,9.09,11.64,0,0,0,Communication numérique;Technologies numériques;Marketing,Technologie,Création de contenus numériques;Création d'un site web multimédia,Développeur logiciel;Agronome,Bureau;Travail en équipe,IMTICIA
105,Bac+1,Français;Anglais;Informatique,14.21,11.76,14.73,18.63,14.19,14.96,13.9,11.69,0,0,0,0,Multimédia;Technologies numériques;Communication numérique,Informatique,Création d'un site web multimédia;Création de contenus numériques,Développeur logiciel,Travail en équipe;Bureau;Environnement international,IMTICIA
106,Bac+3,Français;Informatique,0,0,0,14.4,13.74,15.64,0,0,10.84,12.29,11.9,12.47,Multimédia;Technologies numériques;Communication numérique;Gestion de projet,Technologie;Tourisme,Projet de communication numérique;Création de contenus numériques,Développeur logiciel;Commercial,Télétravail;Travail en équipe,IMTICIA
107,Bac+3,Informatique;Anglais;Droit,8.01,0,9.48,13.97,15.73,17.29,0,12.19,0,0,0,13.13,Communication numérique,Informatique,Création d'un site web multimédia,Développeur logiciel,Bureau,IMTICIA
108,Bac+1,Anglais;Français;Informatique,0,15.44,11.93,15.7,15.08,17.57,10.95,0,0,8.33,10.43,0,Communication numérique;Technologies numériques;Multimédia,Technologie,Projet de communication numérique,Commercial,Télétravail;Bureau,IMTICIA
109,Bac+1,Anglais;Français;Informatique,9.44,10.7,15.99,14.24,16.35,13.62,0,13.81,0,0,14.13,0,Multimédia;Technologies numériques,Informatique;Communication;Finance,Projet de communication numérique;Participation à une association,Professionnel du tourisme,Travail en équipe;Environnement industriel,IMTICIA
110,Baccalauréat C,Informatique;Anglais,10.12,0,10.05,14.37,14.39,11.92,0,0,0,0,0,13.14,Technologies numériques,Informatique;Tourisme,Création de contenus numériques;Projet de communication numérique,Développeur logiciel,Bureau;Travail en équipe;Télétravail,IMTICIA
111,Bac+1,Anglais;Informatique;Français,8.4,0,11.56,15.84,12.64,12.96,12.57,11.19,12.01,0,9.08,0,Multimédia;Communication numérique,Technologie;Informatique;Communication,Création de contenus numériques;Création d'un site web multimédia;Participation à une association,Professionnel du tourisme;Commercial;Développeur logiciel,Télétravail;Bureau;Travail en équipe;Laboratoire,IMTICIA
112,Baccalauréat C,Anglais;Informatique;Français,10.99,0,0,10.92,19.86,18.9,13.55,11.6,9.67,0,12.19,11.86,Communication numérique;Technologies numériques;Multimédia,Informatique;Technologie;Tourisme;Droit,Création d'un site web multimédia;Création de contenus numériques,Développeur logiciel,Télétravail;Travail en équipe,IMTICIA
113,Bac+1,Anglais;Français;Informatique,0,0,0,15.59,11.42,18.32,0,15.38,11.92,0,13.47,10.42,Multimédia;Communication numérique;Technologies numériques,Communication;Informatique,Projet de communication numérique;Création d'un site web multimédia;Participation à une association,Professionnel du tourisme,Travail en équipe,IMTICIA
114,Baccalauréat C,Français;Informatique;Anglais,0,0,9.1,18.18,17.39,18.92,0,0,8.54,0,0,14.72,Technologies numériques;Construction,Tourisme;Technologie,Création d'un site web multimédia;Projet de communication numérique;Projet scolaire,Commercial,Télétravail;Bureau;Travail en équipe,IMTICIA
115,Baccalauréat Technique,Informatique;Français;Anglais,0,0,14.82,13.57,11.3,14.65,11.3,0,0,0,15.42,0,Multimédia;Technologies numériques;Communication numérique,Tourisme;Informatique,Projet de communication numérique;Création de contenus numériques,Commercial;Ingénieur,Bureau,IMTICIA
116,Bac+2,Anglais;Français,0,10.33,10.44,17.04,15.29,12.65,14.64,0,0,14.23,0,0,Multimédia,Informatique;Tourisme,Création de contenus numériques;Participation à une association,Commercial,Bureau,IMTICIA
117,Baccalauréat D,Informatique;Français;Anglais;Mathématiques,0,0,0,14.63,16.02,16.16,14.15,13.01,9.05,12.98,11.67,0,Communication numérique;Multimédia;Technologies numériques;Recherche pharmaceutique,Tourisme;Technologie,Création d'un site web multimédia,Commercial;Développeur logiciel;Chercheur,Télétravail,IMTICIA
118,Baccalauréat Technique,Anglais;Français,11.34,13.38,0,16.83,15.52,15.34,0,10.39,11.03,11.42,0,9.08,Multimédia;Technologies numériques;Communication numérique,Technologie;Communication;Informatique;Tourisme,Création de contenus numériques,Professionnel du tourisme;Commercial,Télétravail;Travail en équipe;Bureau,IMTICIA
119,Baccalauréat Technique,Français;Informatique;Anglais,0,8.19,0,14.52,19.29,13.99,0,0,9.61,14.32,12.05,8.05,Multimédia;Technologies numériques;Communication numérique,Informatique;Tourisme;Communication,Projet de communication numérique;Création de contenus numériques,Commercial;Chercheur,Travail en équipe;Télétravail;Bureau,IMTICIA
120,Bac+1,Anglais;Français,0,0,12.62,16.11,15.07,14.68,11.0,0,12.85,8.93,0,14.86,Communication numérique;Multimédia;Technologies numériques;Communication touristique,Tourisme;Technologie;Environnement,Création d'un site web multimédia,Développeur logiciel,Télétravail;Bureau,IMTICIA
121,Baccalauréat C,Mathématiques;Informatique,16.75,0,14.97,19.15,0,13.8,0,16.63,15.46,0,0,11.74,Python,Finance;Informatique;Intelligence artificielle,Projet d'analyse statistique,Chercheur;Ingénieur,Bureau;Laboratoire;Travail individuel;Atelier,ISAIA
122,Baccalauréat D,Mathématiques;Informatique,15.87,0,0,12.43,0,0,8.23,15.65,8.69,13.64,0,0,Analyse économique;Traitement des données;Analyse statistique,Informatique,Analyse de données économiques;Analyse d'un jeu de données;Projet personnel,Data Scientist;Chercheur,Travail individuel;Laboratoire;Bureau,ISAIA
123,Bac+1,Économie;Informatique,15.5,0,0,17.33,11.8,11.69,14.14,14.2,14.54,0,13.2,0,Analyse économique;Analyse statistique;Traitement des données;Comptabilité,Intelligence artificielle;Business;Finance;Environnement,Projet d'analyse statistique;Analyse de données économiques,Data Scientist,Travail individuel,ISAIA
124,Baccalauréat C,Mathématiques;Informatique;Économie,15.72,0,8.87,18.36,11.95,0,14.54,19.39,0,9.17,12.25,12.62,Analyse statistique,Finance;Business,Projet d'analyse statistique;Analyse de données économiques,Ingénieur,Bureau;Laboratoire;Télétravail,ISAIA
125,Baccalauréat C,Économie;Informatique;Mathématiques,14.57,10.55,11.05,16.25,0,11.08,0,15.73,0,0,8.57,13.77,Analyse économique;Python;Programmation,Business;Finance,Analyse de données économiques;Analyse d'un jeu de données,Ingénieur;Chercheur,Bureau,ISAIA
126,Bac+1,Économie;Mathématiques;Informatique;Gestion;Physique,18.43,0,11.85,14.78,0,0,0,16.77,15.12,11.78,0,0,Traitement des données,Informatique;Intelligence artificielle,Analyse de données économiques;Projet d'analyse statistique,Chercheur;Data Scientist;Technicien,Laboratoire;Travail individuel;Bureau,ISAIA
127,Bac+2,Économie;Mathématiques,15.07,11.88,8.61,15.84,0,10.06,0,17.72,0,0,9.4,0,Analyse économique;Management,Finance,Analyse de données économiques,Chercheur,Laboratoire;Bureau,ISAIA
128,Baccalauréat C,Mathématiques;Informatique;Chimie,12.4,0,0,19.84,13.47,10.1,0,13.91,0,10.53,0,0,Traitement des données,Finance;Intelligence artificielle,Projet d'analyse statistique,Chercheur;Data Scientist,Bureau;Laboratoire;Travail individuel,ISAIA
129,Baccalauréat S,Mathématiques;Économie;Chimie;Histoire-Géographie,15.37,8.27,0,13.01,0,12.8,15.66,13.24,14.11,0,0,8.89,Traitement des données;Programmation,Business,Projet d'analyse statistique;Analyse de données économiques,Chercheur,Laboratoire;Travail individuel,ISAIA
130,Baccalauréat S,Mathématiques;Informatique;Économie,18.32,11.94,14.15,14.21,0,0,8.58,14.56,15.17,13.12,0,0,Analyse statistique;Traitement des données,Informatique;Finance,Projet d'analyse statistique;Analyse de données économiques,Ingénieur,Travail individuel;Laboratoire;Télétravail,ISAIA
131,Baccalauréat Technique,Économie;Informatique;Mathématiques;Chimie;Gestion,17.53,11.68,0,14.68,11.07,13.57,0,15.4,13.06,0,9.54,0,Analyse statistique;Analyse économique;Traitement des données;Multimédia,Finance;Intelligence artificielle;Business,Analyse d'un jeu de données,Ingénieur;Data Scientist,Travail individuel,ISAIA
132,Bac+3,Économie;Mathématiques,10.86,0,0,15.71,0,9.38,10.46,16.82,12.73,0,11.98,0,Python,Finance;Business,Analyse d'un jeu de données;Analyse de données économiques,Data Scientist,Bureau;Travail individuel,ISAIA
133,Baccalauréat C,Mathématiques;Informatique;Économie;Physique;Français,14.41,0,0,12.29,9.44,13.21,0,16.13,0,0,13.12,0,Analyse statistique;Python,Intelligence artificielle,Analyse de données économiques,Chercheur;Ingénieur;Comptable,Bureau,ISAIA
134,Baccalauréat C,Économie;Mathématiques;Informatique,15.2,14.37,0,17.95,13.36,13.16,11.48,15.63,0,13.92,0,14.28,Python;Analyse économique,Business;Finance;Intelligence artificielle,Analyse d'un jeu de données;Analyse de données économiques,Data Scientist,Laboratoire,ISAIA
135,Bac+1,Économie;Informatique;Mathématiques,15.05,0,9.09,17.16,0,9.02,0,10.97,0,0,10.75,0,Analyse statistique;Traitement des données;Python,Intelligence artificielle;Informatique;Business,Analyse d'un jeu de données;Projet d'analyse statistique,Data Scientist;Chercheur,Bureau,ISAIA
136,Baccalauréat C,Économie;Mathématiques,17.27,15.93,0,14.94,14.48,0,11.96,13.89,0,9.74,9.91,0,Analyse économique,Business,Projet d'analyse statistique,Ingénieur,Travail individuel;Laboratoire,ISAIA
137,Baccalauréat Technique,Informatique;Économie,15.17,0,0,14.38,0,0,15.46,17.18,8.41,11.72,10.93,0,Python;Traitement des données;Analyse économique;Environnement,Informatique,Analyse de données économiques,Chercheur;Ingénieur,Laboratoire;Bureau;Terrain,ISAIA
138,Bac+3,Économie;Mathématiques;Informatique,16.47,12.97,0,19.31,0,15.14,0,14.52,15.65,10.21,0,0,Python;Recherche pharmaceutique,Intelligence artificielle;Business;Finance,Projet d'analyse statistique;Projet scolaire,Ingénieur,Travail individuel;Laboratoire,ISAIA
139,Baccalauréat Technique,Informatique;Économie;Mathématiques,16.77,0,10.98,15.53,10.28,0,0,13.37,9.4,0,0,0,Analyse statistique;Contrôle qualité,Intelligence artificielle;Business;Finance,Analyse de données économiques,Chercheur;Data Scientist,Bureau;Laboratoire;Travail individuel,ISAIA
140,Bac+1,Mathématiques;Informatique;Économie;Technique;Gestion,15.21,0,0,19.0,0,0,0,17.06,11.83,13.42,8.2,0,Analyse économique,Informatique;Finance,Projet d'analyse statistique;Projet scolaire,Ingénieur;Data Scientist,Bureau;Laboratoire,ISAIA
141,Bac+3,Économie;Informatique;Gestion;Biologie,12.37,10.46,12.49,15.29,0,11.54,13.82,18.67,14.68,0,10.43,0,Traitement des données;Python;Analyse statistique;Gestion des procédés,Finance;Intelligence artificielle;Informatique,Analyse d'un jeu de données;Participation à une association,Ingénieur;Chercheur;Data Scientist,Laboratoire;Travail individuel;Bureau,ISAIA
142,Baccalauréat D,Mathématiques;Informatique;Histoire-Géographie;Chimie,17.94,11.94,0,12.01,15.95,13.96,0,17.3,0,0,0,12.1,Python;Analyse statistique;Analyse économique,Finance,Projet d'analyse statistique;Participation à une association,Chercheur;Ingénieur;Data Scientist,Travail individuel;Bureau;Laboratoire,ISAIA
143,Baccalauréat C,Économie;Mathématiques,18.96,0,13.48,14.56,0,0,12.15,14.42,15.29,9.24,9.51,0,Python;Analyse statistique;Traitement des données,Intelligence artificielle,Projet d'analyse statistique;Analyse de données économiques,Chercheur,Travail individuel;Laboratoire;Bureau,ISAIA
144,Bac+1,Mathématiques;Économie,11.87,9.04,13.53,15.05,0,0,8.86,17.07,8.95,8.53,0,0,Analyse statistique,Intelligence artificielle,Analyse d'un jeu de données;Projet personnel,Ingénieur;Chercheur,Travail individuel;Bureau;Laboratoire;Administration,ISAIA
145,Bac+3,Économie;Mathématiques,14.42,13.8,0,19.35,0,0,13.39,14.4,0,12.11,14.09,11.73,Analyse statistique;Analyse économique;Traitement des données,Informatique;Business;Intelligence artificielle,Projet d'analyse statistique;Analyse de données économiques,Ingénieur;Chercheur,Laboratoire;Travail individuel;Atelier,ISAIA
146,Baccalauréat D,Économie;Informatique;Mathématiques;Droit;Chimie,14.73,0,11.16,18.57,0,0,10.91,12.1,0,9.86,11.99,0,Traitement des données;Analyse économique;Analyse statistique,Business;Intelligence artificielle;Finance;Technologie,Analyse d'un jeu de données,Data Scientist;Ingénieur;Agronome,Laboratoire,ISAIA
147,Baccalauréat D,Économie;Informatique;Mathématiques;Chimie;Technique,16.31,0,0,14.0,0,0,0,13.32,0,0,0,11.6,Analyse économique;Analyse statistique;Biotechnologie,Finance;Business;Informatique,Projet d'analyse statistique,Data Scientist;Chercheur,Travail individuel;Laboratoire;Bureau,ISAIA
148,Baccalauréat C,Informatique;Économie,18.6,15.82,8.23,14.04,13.94,15.13,8.78,13.68,13.29,13.18,0,0,Traitement des données;Architecture des ordinateurs,Finance;Tourisme,Analyse de données économiques;Projet d'analyse statistique,Ingénieur;Data Scientist,Travail individuel;Laboratoire,ISAIA
149,Bac+1,Mathématiques;Économie;Informatique,17.87,10.4,0,14.07,0,14.8,10.12,14.36,0,0,0,0,Python;Traitement des données;Analyse statistique;Organisation,Business;Intelligence artificielle;Informatique,Analyse de données économiques,Chercheur;Ingénieur,Laboratoire;Travail individuel,ISAIA
150,Baccalauréat C,Mathématiques;Économie,15.61,0,0,18.02,0,0,12.53,16.11,9.18,13.48,11.48,14.64,Analyse statistique,Finance;Business;Tourisme,Projet d'analyse statistique,Data Scientist;Comptable,Laboratoire;Travail individuel,ISAIA
151,Baccalauréat S,Mathématiques;Informatique;Biologie,14.74,0,0,13.0,0,12.81,0,17.23,13.26,15.55,0,8.9,Python;Traitement des données;Analyse statistique,Intelligence artificielle,Projet d'analyse statistique;Analyse de données économiques,Chercheur,Bureau,ISAIA
152,Bac+2,Informatique;Économie;Mathématiques,16.52,11.39,0,19.74,0,13.73,0,14.48,0,0,0,0,Analyse statistique;Analyse économique;Traitement des données,Finance;Business;Informatique,Projet d'analyse statistique,Chercheur;Ingénieur;Comptable,Bureau;Travail individuel,ISAIA
153,Baccalauréat S,Économie;Informatique;Mathématiques,19.17,0,14.73,18.25,0,0,0,14.62,0,0,0,0,Python,Business,Analyse d'un jeu de données,Chercheur;Data Scientist;Comptable,Travail individuel;Bureau;Laboratoire,ISAIA
154,Baccalauréat Technique,Informatique;Mathématiques;Économie;Gestion;Biologie,13.06,15.01,0,16.32,0,0,0,17.84,0,13.61,11.21,10.08,Traitement des données;Multimédia,Informatique,Projet d'analyse statistique;Analyse de données économiques;Projet personnel,Data Scientist,Laboratoire;Travail individuel,ISAIA
155,Baccalauréat S,Économie;Mathématiques,14.75,11.27,10.32,14.35,0,13.47,0,10.66,13.54,0,0,0,Traitement des données;Python;Analyse économique,Finance,Projet d'analyse statistique;Analyse d'un jeu de données;Projet personnel,Chercheur;Ingénieur,Travail individuel;Bureau,ISAIA
156,Baccalauréat C,Économie;Informatique,15.86,12.24,8.93,10.84,0,0,0,16.83,0,0,0,10.5,Traitement des données,Intelligence artificielle;Finance,Analyse d'un jeu de données;Analyse de données économiques;Projet scolaire,Data Scientist,Travail individuel,ISAIA
